Wall time,Step,Value
1617828953,4433,1.236116607
1617828993,4439,1.462533232
1617829014,4442,0.480014971
1617829197,4469,1.190355979
1617829237,4475,0.910297967
1617829264,4479,1.725660637
1617829285,4482,1.366023719
1617829339,4490,0.471297838
1617829353,4492,2.02996619
1617829468,4509,0.373650948
1617829475,4510,0.665892987
1617829603,4529,0.780319795
1617829610,4530,1.403252129
1617829630,4533,2.351021394
1617829678,4540,0.981767941
1617829691,4542,1.362663042
1617829746,4550,0.943294913
1617829759,4552,0.599539001
1617829766,4553,1.689832844
1617829855,4566,0.384958694
1617829868,4568,0.350964908
1617829936,4578,0.920989644
1617829957,4581,1.829766855
1617830031,4592,1.388060022
1617830052,4595,1.370597444
1617830065,4597,1.63418036
1617830079,4599,1.450103242
1617830161,4611,0.52279965
1617830276,4628,1.01384297
1617830378,4643,0.902123749
1617830419,4649,1.644802094
1617830466,4656,3.198057041
1617830521,4664,0.798666291
1617830548,4668,0.687524537
1617830595,4675,1.988365687
1617830602,4676,1.235950738
1617830609,4677,2.753613144
1617830677,4687,1.654708013
1617830819,4708,1.929678582
1617830854,4713,2.768969722
1617830888,4718,2.074653842
1617830929,4724,1.280267257
1617830996,4734,0.792427547
1617831030,4739,0.920349546
1617831071,4745,0.85666962
1617831098,4749,2.175790817
1617831105,4750,1.565285586
1617831159,4758,1.407111716
1617831179,4761,0.696496479
1617831186,4762,2.100365236
1617831199,4764,1.411306299
1617831220,4767,0.415692385
1617831226,4768,1.323294546
1617831233,4769,1.080856472
1617831281,4776,1.36027541
1617831301,4779,0.806176756
1617831308,4780,1.299835183
1617831322,4782,0.560446689
1617831335,4784,2.358633466
1617831355,4787,1.678409427
1617831362,4788,1.109275781
1617831403,4794,1.210578252
1617831443,4800,0.891753845
1617831457,4802,0.991552975
1617831477,4805,2.102948353
1617831613,4825,1.995475963
1617831626,4827,1.576955803
1617831667,4833,1.800417714
1617831715,4840,1.334405132
1617831796,4852,2.007469721
1617831925,4871,1.31912278
1617831939,4873,2.059419826
1617832048,4889,0.823837426
1617832069,4892,2.801864035
1617832082,4894,2.115786448
1617832089,4895,1.540439483
1617832218,4914,1.214626431
1617832381,4938,1.012392808
1617832402,4941,1.827428304
1617832490,4954,0.466105901
1617832544,4962,0.813414156
1617832599,4970,1.653871499
1617832605,4971,2.146176621
1617832626,4974,2.355145849
1617832639,4976,1.081123576
1617832646,4977,1.447086688
1617832741,4991,1.509104576
1617832796,4999,1.378574967
